trace                 : /tmp/rank4-27378/FIX_prof-win.csv
sampler marks         : 60 ('ArgmaxK')
decode steps ranked   : 59 (dropped 0 leading; 0 load+prefill rows excluded)
dispatches per step   : [3005]   <- one value validates the window
step wall ms          : median 124.73  min 115.41  max 262.56
kernel busy per step  : 113.63 ms (91.1% of step wall; the remainder is HOST time)
#3040 swap warnings   : 626 of 177296 rows (0.3531%); worst-case share of the kernel budget 1264.49% (every adjusted row assumed to cost the trace maximum, 135.432 ms)
note                  : rocprofiler-sdk adjusts inverted timestamps silently (#3040); worst-case aggregate error is reported as swap_bound_fraction

kernel                                    share%   total ms  n/step   mean us   min us    max us
------------------------------------------------------------------------------------------------
Cijk_Alik_Bljk_SB_MT32x32x8_SN_1LDSB0_AP  27.86%     1868.0    96.0     329.8    297.7  135432.1
wvSplitKSml                               17.73%     1188.5   180.0     111.9      0.1     250.6
QsaGatherAttentionKernel                   9.68%      649.2    12.0     917.0    179.3    4106.0
GdnScanK                                   7.63%      511.5    36.0     240.8    228.1     318.8
QuantizeQ8KK                               5.17%      346.7   145.0      40.5     31.3     192.2
QuantDotGemmGroupedKernel                  4.46%      299.1    96.0      52.8     31.2     339.9
Cijk_Alik_Bljk_BSS_BH_MT128x32x16_SE_1LD   4.41%      295.8    72.0      69.6     65.2     315.8
Q8_0GemmK                                  3.88%      260.1   244.0      18.1      1.4     140.4
KQuantGemmK                                3.82%      256.2   143.0      30.4      0.2    1550.7
MoeRouterTopKUngroupedKernel               3.14%      210.3    48.0      74.3     66.0   13936.1
GroupedIQ4NLK                              2.29%      153.4    48.0      54.2     45.2     176.9
Cijk_Ailk_Bljk_BSS_BH_MT128x32x16_SE_1LD   2.18%      146.0    49.0      50.5     40.9    1011.6
RmsNormGroupRocmKernel                     1.71%      114.4     3.0     646.5    642.3     651.1
QuantizeQ8_0K                              1.55%      103.9   292.0       6.0      0.3      29.5
GdnPostConvChunkedK                        0.92%       62.0    36.0      29.2     23.8      40.5
HcGroupedNormKernel                        0.56%       37.9    97.0       6.6      1.1      16.4
RmsNormGatedK                              0.55%       36.7    36.0      17.3     12.0      20.8
__amd_rocclr_copyBuffer                    0.28%       19.1   228.0       1.4      0.0      11.2
ArgmaxK                                    0.24%       16.3     1.0     275.9    267.4     284.6
Convert                                    0.21%       13.9    96.0       2.4      0.0      16.0
DsaIndexerLogitsKernel                     0.20%       13.3    12.0      18.8     13.4      24.4
QuantizeQ8KKernel                          0.18%       11.9    96.0       2.1      0.2      15.2
GatedResidualWriteBackKernel               0.16%       10.6    96.0       1.9      0.1      10.1
HcMixKernel                                0.15%        9.8    97.0       1.7      0.0       9.5
Cijk_S_PostGSU3                            0.14%        9.1   121.0       1.3      0.1      13.9
MoeCombineK                                0.11%        7.7    48.0       2.7      0.2       8.0
MoeSiluMulK                                0.10%        6.8    96.0       1.2      0.0      20.8
HcInjectKernel                             0.10%        6.5    96.0       1.2      0.0       6.7
CausalConv1dUpdateK                        0.09%        6.1    36.0       2.9      0.0       5.7
HcSiluScaleKernel                          0.08%        5.7    97.0       1.0      0.0       5.2
SharedExpertGateK                          0.07%        4.8    48.0       1.7      0.0      10.5
CastBf16K                                  0.06%        4.1    48.0       1.4      0.0       8.9
RmsNormRowKernel                           0.06%        3.9    36.0       1.9      0.2       7.3
RopeFromCacheK                             0.03%        2.3    24.0       1.6      0.2       3.3
QsaCompressKernel                          0.03%        2.2    12.0       3.2      0.6       5.1
KQuantGemmKCoopQ6K                         0.03%        1.9     2.0      16.2     15.1      17.8
ReshapeAndCacheK                           0.02%        1.5    12.0       2.2      1.4       5.6
IndexSelectRowK                            0.02%        1.3    14.0       1.6      0.3       2.4
AttnGateSplitK                             0.02%        1.2    12.0       1.6      0.1       5.6
IndexCopyRowK                              0.02%        1.1    12.0       1.6      0.2       3.7
SigmoidGateK                               0.01%        0.9    12.0       1.3      0.1       8.7
DsaTopkSelectKernel                        0.01%        0.9    12.0       1.3      0.4       4.7
PleConvKernel                              0.01%        0.5     1.0       8.9      8.4       9.8
EmbeddingQuantGatherKernel                 0.01%        0.5     1.0       8.1      7.6       8.6
PleGateKernel                              0.00%        0.3     1.0       4.6      4.4       5.3
__amd_rocclr_fillBufferAligned             0.00%        0.2     2.0       2.1      1.1      14.2
AddMixK                                    0.00%        0.1     2.0       1.1      0.0       2.1
EmbeddingKernel                            0.00%        0.1     1.0       2.2      2.0       2.6
------------------------------------------------------------------------------------------------
TOTAL                                    100.00%     6704.4  3005.0
